,Year,Drink Window,Description,Province,Type,Name of Wine,Points,Price
116,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Fenestra 2015 Chardonnay (Livermore Valley),91,$26.00
117,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,VGS Chateau Potelle 2015 Chardonnay (Mount Veeder),90,$50.00
118,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Folie à Deux 2015 Chardonnay (Russian River Valley),86,$18.00
119,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Fallon Place 2015 La Cruz Vineyard Chardonnay (Sonoma Coast),88,$38.00
120,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Craftsman 2015 Chardonnay (California),86,$9.00
121,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,MacPhail 2015 Pratt Vineyard Vine Hill Road Chardonnay (Russian River Valley),95,$45.00
122,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Qupé 2015 Y Block Chardonnay (Santa Barbara County),89,$20.00
123,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,First & Local 2015 Chardonnay (California),85,$10.00
124,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Tantara 2015 Zotovich Chardonnay (Sta. Rita Hills),91,$52.00
125,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Rideau 2015 Chardonnay (Santa Maria Valley),88,$42.00
126,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Boekenoogen 2015 Late Harvest Chardonnay (Santa Lucia Highlands),88,$36.00
127,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Joullian 2015 Roger Rose Vineyard Chardonnay (Arroyo Seco),88,$30.00
128,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,AronHill 2015 Chardonnay (Central Coast),87,$32.00
129,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Josh Cellars 2015 Chardonnay (California),88,$14.00
130,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Saintsbury 2015 Sangiacomo Green Acres Catarina Clone 4 Chardonnay (Carneros),91,$48.00
