,Year,Drink Window,Description,Province,Type,Name of Wine,Points,Price
8320,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Roar 2015 Sierra Mar Vineyard Pinot Noir (Santa Lucia Highlands),92,$54.00
8321,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Navarro 2015 Methode A L'Ancienne Pinot Noir (Anderson Valley),93,$32.00
8322,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,La Crema 2015 Fog Veil Pinot Noir (Russian River Valley),93,$65.00
8323,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Layer Cake 2015 Pinot Noir (Central Coast),86,$16.00
8324,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Phillips Hill 2015 Boontling Pinot Noir (Anderson Valley),91,$39.00
8325,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Sojourn 2015 Ridgetop Vineyard Pinot Noir (Sonoma Coast),94,$59.00
8326,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Laetitia 2015 Reserve du Domaine Pinot Noir (Arroyo Grande Valley),92,$42.00
8327,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Sojourn 2015 Walala Vineyard Pinot Noir (Sonoma Coast),93,$69.00
8328,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Beaulieu Vineyard 2015 Pinot Noir (Carneros),91,$32.00
8329,2015.0,Drink or hold,Santa Barbara and Santa Lucia shine in a year marked by a large crop of tannic wines,California,Pinot Noir,Decroux 2015 Pinot Noir (Sta. Rita Hills),88,$75.00
8848,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Gallegos 2014 Boekenoogen Vineyard Pinot Noir (Santa Lucia Highlands),94,$44.00
8849,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Presqu'ile 2014 Steiner Creek Vineyard Pinot Noir (San Luis Obispo County),94,$48.00
8850,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Davis Family 2014 Horseshoe Bend Pinot Noir (Russian River Valley),92,$55.00
8851,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Tantara 2014 Talley Rincon Pinot Noir (Arroyo Grande Valley),91,$65.00
8852,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Lincourt 2014 Annie Dyer Pinot Noir (Sta. Rita Hills),92,$50.00
8853,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Joseph Phelps 2014 Quarter Moon Vineyard Estate Grown Pinot Noir (Sonoma Coast),94,$75.00
8854,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Lincourt 2014 Lindsay's Pinot Noir (Sta. Rita Hills),92,$50.00
8855,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Grevino 2014 Estate Vineyards Pinot Noir (Santa Maria Valley),93,$75.00
8856,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Sojourn 2014 Wohler Vineyard Pinot Noir (Russian River Valley),92,$48.00
8857,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Baker & Brain 2014 Stolo Vineyard Pinot Noir (San Luis Obispo County),91,$42.00
8858,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Charles Krug 2014 Pinot Noir (Carneros),86,$28.00
8859,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Chanin 2014 La Rinconada Vineyard Pinot Noir (Sta. Rita Hills),94,$60.00
8860,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,La Crema 2014 Pinot Noir (Green Valley),93,$65.00
8861,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,The Decision 2014 Giusti Ranch Estate Pinot Noir (Russian River Valley),90,$80.00
8862,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Malk 2014 Pinot Noir (Fort Ross-Seaview),84,$60.00
8863,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Silver Trident 2014 Apollo's Folly Rosé of Pinot Noir (Sonoma Coast),90,$28.00
8864,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Dragonette 2014 Duvarita Vineyard Pinot Noir (Santa Barbara County),92,$60.00
8865,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Stephen Ross 2014 Pinot Noir (Santa Lucia Highlands),93,$25.00
8866,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Asuncion Ridge 2014 Barrel Select Pinot Noir (San Luis Obispo County),93,$65.00
8867,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Chanin 2014 Los Alamos Vineyard Pinot Noir (Santa Barbara County),95,$50.00
8868,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Halcon 2014 Wentzel Vineyard Pinot Noir (Anderson Valley),91,$42.00
8869,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Hibou 2014 Soulajule Pinot Noir (Marin County),89,$59.00
8870,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Terlato 2014 Pinot Noir (Russian River Valley),91,$54.00
8871,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Niner 2014 Jespersen Ranch Pinot Noir (Edna Valley),90,$65.00
8872,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Tessier Winery 2014 Saveria Vineyard Pinot Noir (Santa Cruz Mountains),90,$39.00
8873,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Anaba 2014 Pinot Noir (Sonoma Coast),90,$42.00
8874,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Bright Angel Wines 2014 Sangiacomo Roberts Road Pinot Noir (Sonoma Coast),88,$50.00
8875,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Cherry Tart 2014 Pinot Noir (California),84,$20.00
8876,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Cherry Pie 2014 Stanly Ranch Pinot Noir (Los Carneros),90,$50.00
8877,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Bien Nacido 2014 Pinot Noir (Santa Maria Valley),92,$60.00
8878,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Mount Eden Vineyards 2014 Estate Bottled Pinot Noir (Santa Cruz Mountains),95,$62.00
8879,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,August Briggs 2014 Dijon Clones Pinot Noir (Sonoma County),88,$40.00
8880,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Sea Smoke 2014 Ten Pinot Noir (Sta. Rita Hills),93,$82.00
8881,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Merry Edwards 2014 Coopersmith Pinot Noir (Russian River Valley),92,$66.00
8882,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Davies 2014 Hudson Vineyards Pinot Noir (Carneros),93,$60.00
8883,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Michaud 2014 Pinot Noir (Chalone),93,$40.00
8884,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Peter Cellars 2014 Estate Rosé of Pinot Noir (Carneros),87,$27.00
8885,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Sante Arcangeli 2014 Mardikian Vineyard Pinot Noir (Sonoma Coast),88,$75.00
8886,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Foppiano 2014 Estate Pinot Noir (Russian River Valley),84,$35.00
8887,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Goldeneye 2014 Split Rail Vineyard Pinot Noir (Anderson Valley),93,$82.00
8888,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,En Garde 2014 Gold Ridge Pinot Noir (Green Valley),90,$55.00
8889,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Monte Smith 2014 Leras Vineyard Pinot Noir (Russian River Valley),91,$28.00
8890,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Sarah's Vineyard 2014 Reserve Pinot Noir (Santa Clara Valley),93,$60.00
8891,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Garnet Vineyards 2014 Stanly Ranch Vineyard Pinot Noir (Carneros),86,$36.00
8892,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Flowers 2014 Pinot Noir (Sonoma Coast),93,$50.00
8893,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Ron Rubin 2014 Gunsalus Vineyard Pinot Noir (Green Valley),91,$38.00
8894,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Josh Cellars 2014 Pinot Noir (California),86,$18.00
8895,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Dutton Estate 2014 Thomas Road Vineyard Dutton Ranch Pinot Noir (Russian River Valley),90,$56.00
8896,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Papapietro Perry 2014 Pinot Noir (Sonoma Coast),90,$53.00
8897,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Jim Palmer 2014 Pinot Noir (California),88,$65.00
8898,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Davis Bynum 2014 Jane's Vineyard Clone 23 Pinot Noir (Russian River Valley),91,$55.00
8899,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Séamus Wines 2014 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),88,$57.00
8900,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,The Withers Winery 2014 Peters Vineyard Pinot Noir (Sonoma Coast),90,$44.00
8901,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Lumen 2014 Pinot Noir (Santa Barbara County),93,$30.00
8902,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Ernest 2014 The Artist Pinot Noir (Sonoma Coast),93,$55.00
8903,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Easton 2014 Durate-Georgetown Vineyard Pinot Noir (Sierra Foothills),87,$30.00
8904,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Pellegrini 2014 Pinot Noir (Russian River Valley),93,$25.00
8905,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Rodney Strong 2014 Estate Vineyards Pinot Noir (Sonoma Coast),90,$30.00
8906,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Chamisal Vineyards 2014 Morrito Estate Grown Pinot Noir (Edna Valley),92,$100.00
8907,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Roar 2014 Pinot Noir (Santa Lucia Highlands),91,$42.00
8908,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Donkey & Goat 2014 Helluva Vineyard Pinot Noir (Anderson Valley),88,$30.00
8909,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Foursight 2014 Paraboll Pinot Noir (Anderson Valley),91,$54.00
8910,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Balletto 2014 Estate Grown Estate Bottled Rosé of Pinot Noir (Russian River Valley),90,$18.00
8911,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Castle Rock 2014 Reserve Pinot Noir (Russian River Valley),88,$18.00
8912,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Roadhouse Winery 2014 Gold Label 777 Pinot Noir (Russian River Valley),90,$59.00
8913,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Belden Barns 2014 Serendipity Block Pinot Noir (Sonoma Mountain),90,$48.00
8914,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Williams Selyem 2014 Williams Selyem Estate Vineyard Pinot Noir (Russian River Valley),94,$105.00
8915,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Sonoma-Cutrer 2014 Pinot Noir (Russian River Valley),91,$30.00
8916,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Keller 2014 El Coro Pinot Noir (Sonoma Coast),91,$52.00
8917,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Romililly 2014 Pinot Noir (Russian River Valley),90,$35.00
8918,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Miro 2014 Orsi Vineyard Pinot Noir (Russian River Valley),91,$30.00
8919,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Walt 2014 Savoy Vineyard Pinot Noir (Anderson Valley),93,$75.00
8920,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,K Squared Cellars 2014 Ketcham Vineyard Pinot Noir (Russian River Valley),91,$42.00
8921,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Hawley 2014 Oehlman Vineyard Pinot Noir (Russian River Valley),89,$45.00
8922,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Black Kite 2014 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),93,$60.00
8923,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Davis Family 2014 Dutton Ranch Pinot Noir (Russian River Valley),93,$55.00
8924,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,J Vineyards & Winery 2014 Annapolis Ridge Vineyard Estate Grown Pinot Noir (Sonoma Coast),92,$75.00
8925,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Miner 2014 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),91,$60.00
8926,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Presqu'ile 2014 Pinot Noir (Santa Maria Valley),92,$42.00
8927,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Mollie 2014 La Encantada Vineyard Pinot Noir (Sta. Rita Hills),94,$40.00
8928,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,MacRostie 2014 Manzana Vineyard Pinot Noir (Green Valley),90,$56.00
8929,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Reuling Vineyard 2014 Reuling Vineyard Pinot Noir (Sonoma Coast),94,$70.00
8930,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Challen 2014 Lindsay's Vineyard Pinot Noir (Sta. Rita Hills),91,$55.00
8931,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,River Road 2014 Stephanie's Cuvée Pinot Noir (Green Valley),90,$25.00
8932,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Sojourn 2014 Riddle Vineyard Pinot Noir (Sonoma Coast),94,$59.00
8933,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Masút 2014 Estate Vineyard Pinot Noir,89,$45.00
8934,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Fossil Point 2014 Pinot Noir (Edna Valley),90,$19.00
8935,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Pali 2014 Radian Vineyard Pinot Noir (Sta. Rita Hills),94,$58.00
8936,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Brophy Clark 2014 Pinot Noir (Santa Maria Valley),93,$36.00
8937,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Armida 2014 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),85,$65.00
8938,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Lucas & Lewellen 2014 Pinot Noir (Santa Barbara County),88,$20.00
8939,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Dunstan 2014 Durell Vineyard Pinot Noir (Sonoma Coast),91,$55.00
8940,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Head High 2014 Pinot Noir (Sonoma Coast),89,$35.00
8941,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Krutz 2014 Magnolia Pinot Noir (Sonoma Coast),87,$30.00
8942,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Paraiso Vineyards 2014 Estate Pinot Noir (Monterey),88,$22.00
8943,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Bucher 2014 Rosé of Pinot Noir (Russian River Valley),91,$20.00
8944,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Bucher 2014 Bucher Vineyard Pinot Noir (Russian River Valley),89,$40.00
8945,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Chasseur 2014 Sexton Pinot Noir (Russian River Valley),87,$60.00
8946,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Gary Farrell 2014 Rochioli Vineyard Pinot Noir (Russian River Valley),95,$75.00
8947,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Toad Hollow 2014 Eye of the Toad Dry Rosé of Pinot Noir (Sonoma County),88,$15.00
8948,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Rodney Strong 2014 Rosé of Pinot Noir (Sonoma County),88,$25.00
8949,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Townley 2014 Pinot Noir (Russian River Valley),91,$50.00
8950,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Fess Parker 2014 Clone 2A Pinot Noir (Santa Maria Valley),91,$58.00
8951,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Blue Oasis 2014 Docker Hill Vineyard Pinot Noir (Mendocino County),94,$52.00
8952,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Manzoni 2014 Pedregal Vineyard Rose of Pinot Noir (San Benito County),86,$23.00
8953,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Calla Lily 2014 Ultimate Red Pinot Noir (Carneros),88,$39.00
8954,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Acacia 2014 Thornton Vineyard Pinot Noir (Sonoma Coast),90,$50.00
8955,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Kendall-Jackson 2014 Vintner's Reserve Pinot Noir (California),92,$20.00
8956,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Hahn 2014 SLH Pinot Noir (Santa Lucia Highlands),91,$30.00
8957,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Redwood Empire 2014 Pinot Noir (Sonoma Coast),84,$24.00
8958,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,MacMurray Ranch 2014 Estate Vineyards Pinot Noir (Central Coast),90,$23.00
8959,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Merry Edwards 2014 Klopp Ranch Pinot Noir (Russian River Valley),94,$66.00
8960,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Talbott 2014 Kali Hart Estate Grown Pinot Noir (Monterey),90,$26.00
8961,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,The Calling 2014 Sunny View Pinot Noir (Russian River Valley),94,$62.00
8962,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Pali 2014 Rancho la Vina Vineyard Pinot Noir (Sta. Rita Hills),94,$58.00
8963,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Director's Cut 2014 Pinot Noir (Sonoma Coast),83,$21.00
8964,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Longboard 2014 Pinot Noir (Russian River Valley),92,$39.00
8965,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Fess Parker 2014 Pinot Noir (Sta. Rita Hills),88,$30.00
8966,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,WindRacer 2014 Pinot Noir (Anderson Valley),86,$50.00
8967,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Square Peg 2014 SP-SL Estate Vineyard Pinot Noir (Russian River Valley),92,$53.00
8968,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Acacia 2014 Reserve Pinot Noir (Carneros),88,$55.00
8969,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Lynmar 2014 Anisya's Blend Susanna's Vineyard Pinot Noir (Sonoma Coast),94,$85.00
8970,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Three Sticks 2014 Pinot Noir (Russian River Valley),94,$60.00
8972,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,B Cellars 2014 Manzana Vineyard Pinot Noir (Russian River Valley),93,$68.00
8973,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,J. Lohr 2014 Falcon's Perch Pinot Noir (Monterey County),87,$17.00
8974,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Siduri 2014 Lingenfelder Vineyard Pinot Noir (Russian River Valley),90,$49.00
8975,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Roark Wine Co. 2014 Sanford & Benedict Vineyard Pinot Noir (Sta. Rita Hills),96,$52.00
8976,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Challen 2014 Scarlett Pinot Noir (Sta. Rita Hills),90,$38.00
8977,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Foley 2014 T Anchor Ranch Pinot Noir (Sta. Rita Hills),91,$55.00
8978,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Alma Fria 2014 Holtermann Vineyard Pinot Noir (Sonoma Coast),91,$62.00
8979,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Merry Edwards 2014 Olivet Lane Pinot Noir (Russian River Valley),94,$68.00
8980,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Lynmar 2014 Rosé of Pinot Noir (Russian River Valley),93,$20.00
8981,2014.0,Drink or hold,"Even higher yields than 2013, with fleshy, forward and showy wines; many approachable now",California,Pinot Noir,Cosa Obra 2014 Pinot Noir (Sonoma County),84,$29.00
